"Region","Subregion","Stock","Group","Name","EnglishName","ScientificName","Source","MinOfYear","MaxOfYear","StartYear","EndYear","Flim","Fpa","Blim","Bpa","Bmsy","FMSY","MSY","MSYBtrigger","B40","M","Fofl","last_F","Resilience","r.low","r.hi","stb.low","stb.hi","int.yr","intb.low","intb.hi","endb.low","endb.hi","q.start","q.end","e.creep","btype","force.cmsy","Comment"
"Northeast Atlantic","Baltic Sea","fle-2223","Benthic fish & inv.","Flounder in Subdivisions 22–23 (Belts and sound)","European flounder","Platichthys flesus","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/fle-2223.pdf",1973,2015,2001,2015,,,,,,,,,,,,,"Medium",0.36,0.86,0.15,0.4,2005,0.01,0.4,0.5,0.85,2002,2006,"NA","CPUE","F",
"Northeast Atlantic","Baltic Sea","fle-2628","Benthic fish & inv.","Flounder in Subdivisions 26 and 28 (Eastern Gotland and Gulf of Gdansk)","European flounder","Platichthys flesus","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/fle-2628.pdf",1996,2015,2001,2015,,,,,,,,,,,,,"Medium",0.36,0.86,0.5,0.85,"NA","NA","NA",0.15,0.4,"NA","NA","NA","CPUE","F",
"Northeast Atlantic","Baltic Sea","fle-2732","Benthic fish & inv.","Flounder in Subdivisions 27 and 29–32 (Northern Central and Northern Baltic Sea)","Flounder","Platichthys flesus","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/fle-2732.pdf",1980,2015,2000,2014,,,,,,,,,,,,,"Medium",0.36,0.86,0.35,0.65,"NA","NA","NA","NA","NA",2000,2010,2,"CPUE","F",
"Northeast Atlantic","Greater North Sea","fle-nsea","Benthic fish & inv.","Flounder in Division IIIa and Subarea IV","European flounder","Platichthys flesus","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/fle-nsea.pdf",1983,2014,1983,2014,,,,,,,,,,,,,"Medium",0.36,0.86,0.35,0.65,2000,0.2,0.6,"NA","NA","NA","NA","NA","CPUE","F",
"Northeast Atlantic","Barents Sea","ghl-arct","Benthic fish & inv.","Greenland halibut in Subareas I and II","Greenland halibut ","Reinhardtius hippoglossoides  ","http://ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/ghl-arct.pdf",1992,2014,1992,2014,,,,,,,,,,,,,"Low",0.17,0.38,0.15,0.4,"NA","NA","NA",0.5,0.85,"NA","NA","NA","CPUE","F",
"Northeast Atlantic","Iceland Sea","ghl-grn","Benthic fish & inv.","Greenland halibut in Subareas V, VI, XII, and XIV (Iceland and Faroes grounds, West of Scotland, North of Azores, East of Greenland)","Greenland halibut","Reinhardtius hippoglossoides","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/ghl-grn.pdf",1960,2015,1960,2015,1.7,,,,1,,,,,,,1.1,"Low",0.17,0.38,0.75,1,1996,0.01,0.4,"NA","NA","NA","NA","NA","CPUE","F",
"Northeast Atlantic","Greater North Sea","had-346a","Large predators","Haddock in Sub-area IV (North Sea) and Division IIIa West and VIa ","Haddock ","Melanogrammus aeglefinus ","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/had-346a.pdf",1972,2014,1972,2014,,,63000,88000,,0.37,,88000,,,,0.24,"Medium",0.33,0.74,0.5,0.85,"NA","NA","NA","NA","NA",1992,1998,"NA","CPUE","F",
"Northeast Atlantic","Celtic Seas","had-7b-k","Large predators","Haddock in Divisions VIIb,c,e-k","Haddock ","Melanogrammus aeglefinus ","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/had-7b-k.pdf",1993,2015,1993,2015,1.41,0.89,6700,10000,,0.4,,10000,,,,0.52,"Medium",0.33,0.74,0.01,0.2,2005,0.2,0.6,"NA","NA",2005,2008,"NA","CPUE","F",
"Northeast Atlantic","Barents Sea","had-arct","Large predators","Haddock in Subareas I and II (Northeast Arctic)","Haddock ","Melanogrammus aeglefinus ","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/had-arct.pdf",1950,2015,1950,2015,0.77,0.47,50000,80000,,0.35,,80000,,,,0.21,"Medium",0.33,0.74,0.01,0.2,1980,0.01,0.2,0.5,0.85,2000,2009,"NA","CPUE","F",
"Northeast Atlantic","Faroes","had-faro","Large predators","Haddock in Division Vb","Haddock ","Melanogrammus aeglefinus ","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/had-faro.pdf",1957,2015,1957,2015,0.4,0.25,22000,35000,,0.25,,35000,,,,0.26,"Medium",0.33,0.74,0.35,0.65,2000,0.2,0.6,"NA","NA","NA","NA","NA","CPUE","F",
"Northeast Atlantic","Iceland Sea","had-iceg","Large predators","Haddock  in Division Va (Icelandic haddock)","Haddock ","Melanogrammus aeglefinus ","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/had-iceg.pdf",1979,2015,1979,2015,,,45000,59000,,,,,,,,0.37,"Medium",0.33,0.74,0.35,0.65,2006,0.5,0.9,"NA","NA","NA","NA","NA","CPUE","F",
"Northeast Atlantic","Baltic Sea","her-2532-gor","Plankton feeders","Herring in Subdivisions 25 - 29 (excluding Gulf of Riga) and 32","Atlantic herring","Clupea harengus","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/her-2532-gor.pdf",1974,2015,1974,2015,0.52,0.41,430000,600000,,0.22,,600000,,,,0.18,"Medium",0.3,0.68,0.5,0.85,"NA","NA","NA",0.35,0.65,"NA","NA","NA","CPUE","F",
"Northeast Atlantic","Baltic Sea","her-30","Plankton feeders","Herring in Subdivision 30 (Bothnian Sea)","Atlantic herring","Clupea harengus","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/her-30.pdf",1973,2015,1990,2015,,,,,,0.15,,316000,,,,0.15,"Medium",0.3,0.68,0.35,0.65,2000,0.01,0.4,0.35,0.65,2000,2005,"NA","CPUE","F",
"Northeast Atlantic","Baltic Sea","her-31","Plankton feeders","Herring in Subdivision 31 (BothnianBay)","Atlantic herring","Clupea harengus","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/her-31.pdf",1980,2015,1980,2015,,,,,,,,,,,,0.78,"Medium",0.3,0.68,0.35,0.65,1995,0.01,0.4,"NA","NA","NA","NA","NA","CPUE","F",
"Northeast Atlantic","Baltic Sea","her-3a22","Plankton feeders","Herring in Division IIIa and Subdivisions 22 - 24 ","Atlantic herring","Clupea harengus","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/her-3a22.pdf",1991,2015,1991,2015,0.52,0.45,90000,110000,,0.32,,110000,,,,0.26,"Medium",0.3,0.68,0.35,0.65,2011,0.01,0.3,"NA","NA",2000,2005,"NA","CPUE","F",
"Northeast Atlantic","Greater North Sea","her-47d3","Plankton feeders","Herring in Subarea IV and Divisions IIIa and VIId ","Atlantic herring","Clupea harengus","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/her-47d3.pdf",1947,2015,1977,2015,0.39,0.34,800000,1000000,,0.33,,1500000,,,,0.24,"Medium",0.3,0.68,0.01,0.2,1995,0.2,0.6,0.5,0.85,"NA","NA","NA","CPUE","F",
