"Ready?","Region","Subregion","Stock","Group","Name","EnglishName","ScientificName","Source","MinOfYear","MaxOfYear","StartYear","EndYear","Flim","Fpa","Blim","Bpa","Bmsy","FMSY","MSY","MSYBtrigger","B40","M","Fofl","last_F","Resilience","r.low","r.hi","stb.low","stb.hi","int.yr","intb.low","intb.hi","endb.low","endb.hi","q.start","q.end","btype","force.cmsy","Comment"
"Y","FAO area 27","Atlantic, Northeast","Micr_pou_AtlanticNortheast","Medium benthopelagics (30 - 89 cm)","Blue whiting in Atlantic, Northeast","Blue whiting","Micromesistius poutassou","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2015/2015/whb-comb.pdf",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium","NA","NA","NA","NA",1980,0.1,0.5,"NA","NA","NA","NA","CPUE","F","Used catch from all of FAO area 27"
,"ICES areas: 4.a; 5.b.1.b; 5.b.2; 6.a; 6.b.1; 6.b.2; 7.c.1; 7.c.2; 7.k.1; 7.k.2; 8.d.2; 7.j.2; 7.b; 7.h; 7.g; 7.f; 7.e; 7.d; 7.a; 7.j.1; 8.d.1","North East Atlantic Ocean","Molv_mol_NorthEastAtlantic","Large demersals (>=90 cm)","Ling in North East Atlantic","Ling","Molva molva","NA",1950,2014,1970,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Low",0.22,0.66,"NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","Combined catch from ME Faroe Plateau, Celtic Sea, North Sea and South European Atlantic Shelf"
,"ICES areas 27.5.a.2; 27.2.b.2; 27.14.a; 27.14.b.2; 27.2.a.2; 27.2.b.1; 27.2.a.1","Iceland","Poll_vir_Iceland","Large demersals (>=90 cm)","Saithe in Iceland","Saithe","Pollachius virens","http://www.ices.dk/sites/pub/Publication%20Reports/Advice/2016/2016/sai-icel.pdf",1950,2014,1950,2014,"NA","NA","NA","NA",218,0.293,63.8,"NA","NA","NA","NA","NA","Medium",0.21,0.75,"NA","NA",2000,0.01,0.4,0.2,0.6,"NA","NA","CPUE","F","RF OK 22/02/18. Consider joining both Iceland ecoregions, same as stock sai-iceg = pok.27.5a"
,"NEAFC;NASCO;ICCAT,FAO 21,27,31,34","North Atlantic Ocean","Prio_gla_NorthAtlantic","Large sharks (>=90 cm)","Blue shark in North Atlantic Ocean","Blue shark","Prionace glauca","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Very low","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","Combined catch from FAO area 21,27,31,34"
"Y","IOTC; SIOFA; CCSBT","Indian Ocean","Prio_gla_IndianOcean","Large sharks (>=90 cm)","Blue shark in Indian Ocean","Blue shark","Prionace glauca","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Very low","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","!! Straddling stock for Antarctic ocean (FAO area 48, 58, and 88)"
,"GFCM;ICCAT","Mediterranean","Prio_gla_Med","Large sharks (>=90 cm)","Blue shark in Western Mediterranean","Blue shark","Prionace glauca",,1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Very low","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","CPUE","F","!!! Straddling stock"
"Y","IOTC","Indian Ocean","Rast_kan_IndianOcean","Medium pelagics (30 - 89 cm)","Indian mackerel in Indian Ocean","Indian mackerel","Rastrelliger kanagurta","NA",1968,2014,1968,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","!! Straddling stock for FAO area 51"
"Y","WCPFC","Western Pacific Ocean","Rast_kan_WCPFC","Medium pelagics (30 - 89 cm)","Indian mackerel in WPCFC","Indian mackerel","Rastrelliger kanagurta",,1987,2014,1987,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F",
"Y","IOTC","Indian Ocean","Sard_lon_IndianOcean","Small pelagics (<30 cm)","Indian oil sardine in Indian Ocean","Indian oil sardine","Sardinella longiceps","NA",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","None","F","!! Straddling stock for FAO area 51"
,"WCPFC","Western Pacific Ocean","Sard_sag_WCPFC","Medium pelagics (30 - 89 cm)","Pacific sardine in WCPFC","Pacific sardine","Sardinops sagax","http://www.pcouncil.org/wp-content/uploads/2011_CPS_SAFE_Sardine_assessment_Appendix_C.pdf",1950,2014,1950,2014,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Medium",0.3,1.07,"NA","NA",1993,0.01,0.4,"NA","NA",1993,2011,"CPUE","F","!!! Wide ranging only in West Pacific, NOAA CPUE might be representative"
